"","age","mean","sd"
"1",0,36.4990643623955,11.0176532804441
"18",1,39.9559945375113,11.0176532804441
"2",2,45.0421341872809,10.8314722084725
"3",3,48.9559945375124,11.0176532804452
"4",4,51.9559945375125,11.0176532804452
"5",5,53.9559945375125,11.0176532804452
"6",6,55.9976900717912,10.9279606512505
"7",7,56.9559945375125,11.0176532804452
"8",8,58.0421341873566,10.8314722085774
"9",9,58.9976900717869,10.927960651264
"10",10,60.2661329072545,10.3935079256684
"11",11,60.9966033831497,10.9420015383551
"12",12,62.2661329072545,10.3935079256684
"13",13,62.996603382739,10.9420015382044
"14",14,64.2661329072545,10.3935079256684
"15",15,65.2661329072545,10.3935079256684
"16",16,65.9976900717867,10.9279606512647
"17",17,65.9976900717867,10.9279606512647
