"","age","mean","sd"
"1",0,33.2714286519896,10.9309129417985
"18",1,37.2714286519896,10.9309129417985
"2",2,42.0615289023821,11.5171560594683
"3",3,46.2714286519896,10.9309129417985
"4",4,50.0615289023821,11.5171560594683
"5",5,53.0615289023799,11.5171560594731
"6",6,55.0162073529398,11.6155149232477
"7",7,57.0615289023799,11.5171560594731
"8",8,59.3189445090885,10.7300274431409
"9",9,60.0615289023826,11.5171560594671
"10",10,61.13253671598,10.8477009453965
"11",11,61.0162073529397,11.6155149232478
"12",12,62.13253671598,10.8477009453965
"13",13,62.0615289023819,11.5171560594688
"14",14,63.0615289023826,11.5171560594671
"15",15,64.0615289023827,11.5171560594669
"16",16,65.2714286519896,10.9309129417985
"17",17,66.9921823756328,11.8508669234061
