"","age","mean","sd"
"1",0.25,143.571409445483,15.168970067455
"2",0.5,139.571438478057,14.5743752668358
"3",0.75,133.142877467607,14.2757561639161
"4",1,127.285744409736,13.744009972028
"5",1.5,122.000028076924,13.9142870365304
"6",2,116.000005112541,13.7859395028094
"7",3,109.571445542617,13.4873187973505
"8",4,103.714294289602,13.5920966808175
"9",6,98.4285655115731,13.4873185933389
"10",8,91.5714129758806,13.3354067533192
"11",12,84.1428532448682,13.0367845337986
"12",15,78.1428545976603,12.5705379789104
"13",25,73.7709394304427,13.2801474950099
