"","age","mean","sd"
"1",1,54.9999999999988,10.9432429976796
"2",2,59.0583907525714,10.6193707353774
"3",3,61.9999999612944,10.9432429976799
"4",4,64.999999641989,10.9432429976836
"5",5,66.9999999419426,10.9432429976799
"6",6,68.9416092474286,10.6193707353776
"7",7,69.9999999419426,10.9432429976799
"8",8,71.0583907525714,10.619370735378
"9",9,72.9416092474287,10.6193707353774
"10",10,73.999999641989,10.9432429976836
"11",11,74.999999641989,10.9432429976836
"12",12,75.9999999419426,10.9432429976799
"13",13,77.9416092474286,10.6193707353776
"14",14,78.9999999419426,10.9432429976799
"15",15,79.9999999419426,10.9432429976799
"16",16,80.999999641989,10.9432429976836
"17",17,80.999999641989,10.9432429976836
