"","age","mean","sd"
"1",1,53.0000005645919,11.5512009469048
"2",2,57.0584504476231,11.2284136331503
"3",3,61.0000001081077,11.5512009469037
"4",4,64.0584504476235,11.2284136331515
"5",5,66.9999999419426,10.9432429976799
"6",6,68.9415495523768,11.2284136331513
"7",7,70.0584504476233,11.2284136331515
"8",8,72.0584504476232,11.2284136331511
"9",9,73.0584504476233,11.2284136331515
"10",10,74.9415495523767,11.228413633151
"11",11,75.0584504476232,11.2284136331511
"12",12,76.941549552377,11.2284136331502
"13",13,77.0584504476232,11.2284136331511
"14",14,78.9999999419426,10.9432429976799
"15",15,80.0584504476232,11.2284136331511
"16",16,81.9999996276124,11.5512009468988
"17",17,83.9999996276124,11.5512009468988
