"","age","mean","sd"
"1",0,84.4976900717868,10.9279606512647
"18",1,85.9976900717867,10.9279606512647
"2",2,87.9794117136919,10.2541133484566
"3",3,88.9976900717926,10.9279606512461
"4",4,90.9794117136916,10.2541133484571
"5",5,92.9794117136918,10.2541133484567
"6",6,94.0606246593701,10.5784374077578
"7",7,95.9794117136916,10.2541133484571
"8",8,97.9794117136919,10.2541133484566
"9",9,99.9794117136916,10.2541133484571
"10",10,101.979411713692,10.2541133484567
"11",11,102.997690071791,10.9279606512512
"12",12,104.997690071787,10.9279606512647
"13",13,107.06062465937,10.5784374077578
"14",14,108.979411713692,10.2541133484566
"15",15,109.979411713692,10.2541133484567
"16",16,110.960331728939,9.85686282007788
"17",17,110.997690071793,10.9279606512461
