"","age","mean","sd"
"1",0,82.4976900717914,10.9279606512512
"18",1,84.997690071791,10.9279606512512
"2",2,87.997690071791,10.9279606512512
"3",3,90.9976900717926,10.9279606512461
"4",4,92.9976900717903,10.9279606512531
"5",5,94.9795480022614,10.2640954813015
"6",6,95.9976900717903,10.9279606512531
"7",7,96.9976900717874,10.9279606512624
"8",8,98.9794117136918,10.2541133484567
"9",9,99.997690071791,10.9279606512512
"10",10,101.979548002266,10.2640954812991
"11",11,103.979548002261,10.2640954813015
"12",12,106.060624659368,10.5784374077636
"13",13,107.997690071787,10.9279606512647
"14",14,111.060624659368,10.5784374077618
"15",15,112.997690071791,10.9279606512512
"16",16,115.997690071786,10.9279606512678
"17",17,117.997690071793,10.9279606512461
